section	tenphim	tentienganh	daodien	dienvien	danhmuc	phimimg	baner	trailer	epname	epurl	epsub	chatluong	viewed
1	12 Người Đàn Ông Giận Dữ	12 Angry Men	Sidney Lumet	Martin Balsam, John Fiedler, Lee J. Cobb	Tâm Lý	http://img.hayhaytv.com/film/28052013/crop/12-angry-men-1957_34541369721627.jpg			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_12-angry-men_12-nguoi-dan-ong-gian-du_1957.mp4		HD	31
1	12 Vòng Sinh Tử	12 Rounds Reloaded	Renny Harlin	John Cena, Luke Albright, Michael Arnona, Allen Boudreaux	Hành Động	http://img.hayhaytv.com/film/28052013/thumb/1_98001369721087.jpg			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_12-rounds-reloaded_12-vong-sinh-tu-2-tai-chien_2013.mp4		HD	20
1	127 Giờ Sinh Tử	127 hours	Danny Boyle	Kate Mara, James Franco, Amber Tamblyn	Phiêu Lưu	http://img.hayhaytv.com/film/15012013/crop/127-hours-movie-poster_69521358224909.jpg			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_127-hours_127-gio-sinh-tu_2011.mp4		HD	18
1	Căn Phòng 1408	1408	Mikael Hafstrom	John Cusack, Samuel L. Jackson, Mary McCormack, Tony Shalhoub	Kinh Dị	http://img.hayhaytv.com/film/11052013/crop/fourteen_hundred_and_eight_xlg_63831368270575.jpg			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_1408_can-phong-1408_2007.mp4		HD	26
1	16 Điếu Ước	16 wishes	Peter DeLuise	Debby Ryan, Jean-Luc Bilodeau, Anna Mae Routledge, Karissa Tynes, Kendall Cross, Patrick Gilmore, Cainan Wiebe, Keenan Tracey, Jesse Reid, Joel Semande	Hài Hước	http://vaphim.com/wp-content/uploads/2012/03/16-Wishes-2010-134x192.jpg?3a2c3e			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_16-wishes_16-dieu-uoc_2010.mp4		HD	24
1	Trở lại Tuối 17	17 again	Burr Steers	Zac Efron, Matthew Perry, Leslie Mann	Hài Hước,Tâm Lý	http://116.118.112.25:8080/khophimhd/upload/2014/06/02/film/tro-lai-tuoi-17.jpg			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_17-again_tro-lai-tuoi-17_2009.mp4		HD	19
1	Ma Quỷ Trở lại	1920 evil returns	Bhushan Patel	Tia Bajpai, Vidya Malvade, Aftab Shivdasani	Kinh Dị	http://vaphim.com/wp-content/uploads/2013/05/1920-Evil-Returns-2012-134x192.jpg?3a2c3e			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_1920-evil-returns_ma-quy-tro-lai_2012.mp4		HD	15
1	2 Con Thỏ	2 Coelhos 2012	Afonso Poyart	Fernando Alves Pinto, Caco Ciocler, Marat Descartes	Hành Động	http://img.hayhaytv.com/film/19082013/crop/1_67101376904850.jpg			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_2-coelhos_2-con-tho_2012.mp4		HD	20
1	Quá Nhanh Quá Nguy Hiểm 2	2 fast 2 furious	John Singleton	Paul Walker, Tyrese, Eva Mendes, Cole Hauser, Ludacris	Hành Động	http://img.hayhaytv.com/film/23012013/thumb/2-fast-2-furious-poster_92451358912946.jpg			FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_2-fast 2 furious_qua-nhanh qua nguy hiem 2_2003.mp4		HD	27
1	Năm Đại Họa	2012		John Cusack,Woody Harrelson,Thandie Newton,Amanda Peet,	Viễn Tưởng	http://img.hayhaytv.com/film/20122012/crop/MV5BMTc4Njk3MDM1Nl5BMl5BanBnXkFtZTcwODgyOTMxOA@@._V1._SY317__12601355959924.jpg		http://www.youtube.com/watch?v=rvI66Xaj9-o	FULL	http://116.118.112.25/PhimLe/f241a8cf55369214951c6e23807121e3/0273a9274bfbbd8a2d22db86f3646475/Phim_2012_nam-dai-hoa_2009.mp4		HD	29
